                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.31648,                0.27678,                 0.8117,                0.99562,                0.99259,                0.99441,                0.96294,                0.14225,                0.09024,                0.75453,               0.005611,               0.005611,               0.005611
                    136,                0.31688,                0.27709,                0.81056,                0.99581,                0.99245,                0.99441,                0.96312,                0.14221,                0.09033,                0.75454,               0.005578,               0.005578,               0.005578
                    137,                0.31591,                0.28037,                0.81015,                0.99579,                0.99243,                0.99441,                0.96295,                0.14215,                0.09031,                0.75448,               0.005545,               0.005545,               0.005545
                    138,                0.31795,                0.28405,                0.81109,                0.99589,                 0.9924,                0.99441,                0.96298,                0.14216,                0.08998,                0.75445,               0.005512,               0.005512,               0.005512
                    139,                0.29343,                0.22617,                 0.8046,                0.99593,                 0.9924,                0.99441,                0.96328,                0.14216,                0.09018,                0.75445,               0.005479,               0.005479,               0.005479
                    140,                0.30781,                0.25372,                0.80804,                0.99574,                0.99243,                0.99441,                0.96314,                0.14219,                 0.0903,                0.75446,               0.005446,               0.005446,               0.005446
                    141,                0.30834,                 0.2612,                0.80822,                0.99574,                0.99247,                0.99441,                0.96299,                0.14216,                0.09029,                0.75443,               0.005413,               0.005413,               0.005413
                    142,                  0.311,                0.26693,                0.80962,                0.99573,                0.99248,                0.99441,                0.96298,                0.14209,                0.09009,                 0.7544,                0.00538,                0.00538,                0.00538
                    143,                0.31419,                0.27149,                0.81046,                0.99586,                 0.9924,                0.99442,                0.96304,                0.14211,                0.09003,                0.75441,               0.005347,               0.005347,               0.005347
                    144,                0.31447,                0.27382,                0.81006,                0.99596,                0.99221,                0.99441,                0.96292,                0.14204,                0.09012,                0.75442,               0.005314,               0.005314,               0.005314
                    145,                0.31383,                0.27602,                 0.8107,                0.99603,                0.99217,                0.99441,                0.96307,                0.14202,                0.08955,                 0.7544,               0.005281,               0.005281,               0.005281
                    146,                0.31507,                0.27777,                0.81035,                  0.996,                0.99227,                0.99441,                0.96296,                0.14208,                0.08989,                0.75437,               0.005248,               0.005248,               0.005248
                    147,                 0.3145,                0.27937,                0.81213,                0.99603,                0.99221,                0.99442,                0.96297,                0.14197,                 0.0899,                0.75439,               0.005215,               0.005215,               0.005215
                    148,                0.31714,                0.28203,                0.81083,                0.99597,                0.99217,                0.99441,                0.96314,                0.14194,                0.09011,                0.75441,               0.005182,               0.005182,               0.005182
                    149,                0.31522,                0.27913,                0.81053,                0.99577,                 0.9922,                0.99441,                0.96302,                0.14193,                0.09021,                0.75435,               0.005149,               0.005149,               0.005149
                    150,                0.31587,                0.28227,                0.81031,                0.99574,                0.99227,                0.99441,                0.96293,                0.14194,                 0.0901,                0.75431,               0.005116,               0.005116,               0.005116
                    151,                  0.316,                0.28425,                0.81065,                0.99565,                0.99237,                0.99442,                0.96305,                0.14183,                0.09031,                0.75426,               0.005083,               0.005083,               0.005083
                    152,                0.31907,                0.28849,                0.81164,                0.99557,                0.99232,                0.99442,                0.96296,                0.14186,                0.09034,                0.75427,                0.00505,                0.00505,                0.00505
                    153,                0.32077,                0.29534,                0.81296,                0.99534,                0.99246,                0.99441,                0.96315,                0.14182,                0.09034,                0.75431,               0.005017,               0.005017,               0.005017
                    154,                0.32289,                0.29799,                0.81302,                0.99538,                0.99254,                0.99441,                0.96312,                 0.1417,                0.09018,                0.75424,               0.004984,               0.004984,               0.004984
                    155,                0.32648,                0.30546,                0.81332,                0.99521,                 0.9924,                0.99441,                0.96324,                0.14169,                0.09036,                0.75423,               0.004951,               0.004951,               0.004951
                    156,                0.32308,                0.30528,                0.81268,                0.99579,                0.99216,                0.99441,                0.96319,                0.14163,                0.08988,                0.75421,               0.004918,               0.004918,               0.004918
                    157,                0.32457,                0.30863,                0.81354,                0.99574,                0.99219,                0.99442,                0.96327,                0.14161,                0.08971,                0.75418,               0.004885,               0.004885,               0.004885
                    158,                0.32344,                0.30943,                0.81378,                0.99588,                0.99184,                0.99444,                0.96331,                0.14155,                0.08979,                 0.7542,               0.004852,               0.004852,               0.004852
                    159,                 0.3237,                0.31066,                0.81324,                0.99574,                0.99209,                0.99443,                0.96351,                 0.1415,                0.08956,                 0.7542,               0.004819,               0.004819,               0.004819
